dataset,feature,scoring_role,provider,model,semantic_relevance_mean,availability_mean,leakage_risk_mean,leakage_risk_std,prompt_count
bank,outcome_verification_score,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
bank,post_decision_status,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
bank,risk_review_code,lasfs,deepseek,deepseek-v4-flash,0.16666666666666666,0.0,1.0,0.0,30
bank,confirmed_result_code,lasfs,deepseek,deepseek-v4-flash,0.5333333333333333,0.06666666666666667,0.9666666666666667,0.04794633014853849,30
bank,followup_action_group,lasfs,deepseek,deepseek-v4-flash,0.5333333333333333,0.06666666666666667,0.9666666666666667,0.04794633014853849,30
bank,workflow_bucket_id,lasfs,deepseek,deepseek-v4-flash,0.1,0.16666666666666666,0.9666666666666667,0.04794633014853849,30
bank,review_priority_index,lasfs,deepseek,deepseek-v4-flash,0.1,0.16666666666666666,0.9333333333333333,0.09589266029707691,30
bank,service_path_code,lasfs,deepseek,deepseek-v4-flash,0.1,0.23333333333333334,0.9333333333333333,0.09589266029707691,30
bank,V16,lasfs,deepseek,deepseek-v4-flash,0.8333333333333334,0.3,0.7,0.43151697133684574,30
bank,V12,lasfs,deepseek,deepseek-v4-flash,0.8333333333333334,0.6333333333333333,0.6333333333333333,0.4573788389276995,30
bank,V14,lasfs,deepseek,deepseek-v4-flash,0.8,0.6333333333333333,0.3333333333333333,0.4096536243633431,30
bank,V6,lasfs,deepseek,deepseek-v4-flash,0.8333333333333334,0.9,0.06666666666666667,0.04794633014853842,30
bank,V11,lasfs,deepseek,deepseek-v4-flash,0.8,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
bank,V13,lasfs,deepseek,deepseek-v4-flash,0.8,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
bank,V15,lasfs,deepseek,deepseek-v4-flash,0.8,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
bank,V5,lasfs,deepseek,deepseek-v4-flash,0.8333333333333334,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
bank,V8,lasfs,deepseek,deepseek-v4-flash,0.8,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
bank,V9,lasfs,deepseek,deepseek-v4-flash,0.7,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
bank,V1,lasfs,deepseek,deepseek-v4-flash,0.8333333333333334,1.0,0.0,0.0,30
bank,V1,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
bank,V10,lasfs,deepseek,deepseek-v4-flash,0.26666666666666666,0.6666666666666666,0.0,0.0,30
bank,V10,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
bank,V11,llm_only,deepseek,deepseek-v4-flash,0.6,1.0,0.0,0.0,5
bank,V12,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
bank,V13,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
bank,V14,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
bank,V15,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
bank,V16,llm_only,deepseek,deepseek-v4-flash,0.9,1.0,0.0,0.0,5
bank,V2,lasfs,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,30
bank,V2,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
bank,V3,lasfs,deepseek,deepseek-v4-flash,0.7666666666666667,1.0,0.0,0.0,30
bank,V3,llm_only,deepseek,deepseek-v4-flash,0.6,1.0,0.0,0.0,5
bank,V4,lasfs,deepseek,deepseek-v4-flash,0.7666666666666667,1.0,0.0,0.0,30
bank,V4,llm_only,deepseek,deepseek-v4-flash,0.7,1.0,0.0,0.0,5
bank,V5,llm_only,deepseek,deepseek-v4-flash,0.9,1.0,0.0,0.0,5
bank,V6,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
bank,V7,lasfs,deepseek,deepseek-v4-flash,0.8333333333333334,1.0,0.0,0.0,30
bank,V7,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
bank,V8,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
bank,V9,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
bank,case_resolution_type,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
bank,confirmed_result_code,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
bank,final_outcome_flag,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
bank,followup_action_group,llm_only,deepseek,deepseek-v4-flash,0.7,1.0,0.0,0.0,5
bank,outcome_verification_score,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
bank,post_decision_status,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
bank,review_priority_index,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
bank,risk_review_code,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
bank,service_path_code,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
bank,workflow_bucket_id,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
blood,confirmed_result_code,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
blood,final_outcome_flag,lasfs,deepseek,deepseek-v4-flash,0.3333333333333333,0.0,1.0,0.0,30
blood,outcome_verification_score,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
blood,post_decision_status,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
blood,risk_review_code,lasfs,deepseek,deepseek-v4-flash,0.16666666666666666,0.0,1.0,0.0,30
blood,case_resolution_type,lasfs,deepseek,deepseek-v4-flash,0.06666666666666667,0.0,0.9666666666666667,0.04794633014853849,30
blood,followup_action_group,lasfs,deepseek,deepseek-v4-flash,0.26666666666666666,0.1,0.9666666666666667,0.04794633014853849,30
blood,review_priority_index,lasfs,deepseek,deepseek-v4-flash,0.16666666666666666,0.1,0.9333333333333333,0.09589266029707691,30
blood,workflow_bucket_id,lasfs,deepseek,deepseek-v4-flash,0.1,0.16666666666666666,0.9,0.14383899044561535,30
blood,service_path_code,lasfs,deepseek,deepseek-v4-flash,0.06666666666666667,0.26666666666666666,0.7666666666666667,0.33562431103976886,30
blood,V3,lasfs,deepseek,deepseek-v4-flash,0.8333333333333334,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
blood,V1,lasfs,deepseek,deepseek-v4-flash,0.8333333333333334,1.0,0.0,0.0,30
blood,V1,llm_only,deepseek,deepseek-v4-flash,0.9,1.0,0.0,0.0,5
blood,V2,lasfs,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,30
blood,V2,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
blood,V3,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
blood,V4,lasfs,deepseek,deepseek-v4-flash,0.7666666666666667,1.0,0.0,0.0,30
blood,V4,llm_only,deepseek,deepseek-v4-flash,0.6,1.0,0.0,0.0,5
blood,case_resolution_type,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
blood,confirmed_result_code,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
blood,final_outcome_flag,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
blood,followup_action_group,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
blood,outcome_verification_score,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
blood,post_decision_status,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
blood,review_priority_index,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
blood,risk_review_code,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
blood,service_path_code,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
blood,workflow_bucket_id,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
cultivars,NGL,lasfs,deepseek,deepseek-v4-flash,0.9,0.0,1.0,0.0,30
cultivars,NGP,lasfs,deepseek,deepseek-v4-flash,0.9333333333333333,0.0,1.0,0.0,30
cultivars,case_resolution_type,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
cultivars,final_outcome_flag,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
cultivars,followup_action_group,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
cultivars,outcome_verification_score,lasfs,deepseek,deepseek-v4-flash,0.26666666666666666,0.0,1.0,0.0,30
cultivars,post_decision_status,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
cultivars,review_priority_index,lasfs,deepseek,deepseek-v4-flash,0.06666666666666667,0.0,1.0,0.0,30
cultivars,risk_review_code,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
cultivars,workflow_bucket_id,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
cultivars,confirmed_result_code,lasfs,deepseek,deepseek-v4-flash,0.26666666666666666,0.06666666666666667,0.9666666666666667,0.04794633014853849,30
cultivars,service_path_code,lasfs,deepseek,deepseek-v4-flash,0.0,0.3333333333333333,0.6666666666666666,0.47946330148538413,30
cultivars,NLP,lasfs,deepseek,deepseek-v4-flash,0.8,0.3,0.3333333333333333,0.4096536243633431,30
cultivars,Season,lasfs,deepseek,deepseek-v4-flash,0.6,0.6666666666666666,0.26666666666666666,0.38357064118830736,30
cultivars,IFP,lasfs,deepseek,deepseek-v4-flash,0.7333333333333333,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
cultivars,NS,lasfs,deepseek,deepseek-v4-flash,0.8,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
cultivars,PH,lasfs,deepseek,deepseek-v4-flash,0.8,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
cultivars,Cultivar,lasfs,deepseek,deepseek-v4-flash,0.6,1.0,0.0,0.0,30
cultivars,Cultivar,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
cultivars,IFP,llm_only,deepseek,deepseek-v4-flash,0.6,1.0,0.0,0.0,5
cultivars,MHG,lasfs,deepseek,deepseek-v4-flash,0.9,0.6666666666666666,0.0,0.0,30
cultivars,MHG,llm_only,deepseek,deepseek-v4-flash,0.9,1.0,0.0,0.0,5
cultivars,NGL,llm_only,deepseek,deepseek-v4-flash,0.9,1.0,0.0,0.0,5
cultivars,NGP,llm_only,deepseek,deepseek-v4-flash,1.0,1.0,0.0,0.0,5
cultivars,NLP,llm_only,deepseek,deepseek-v4-flash,0.9,1.0,0.0,0.0,5
cultivars,NS,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
cultivars,PH,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
cultivars,Repetition,lasfs,deepseek,deepseek-v4-flash,0.0,0.3333333333333333,0.0,0.0,30
cultivars,Repetition,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
cultivars,Season,llm_only,deepseek,deepseek-v4-flash,0.5,1.0,0.0,0.0,5
cultivars,case_resolution_type,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
cultivars,confirmed_result_code,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
cultivars,final_outcome_flag,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
cultivars,followup_action_group,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
cultivars,outcome_verification_score,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
cultivars,post_decision_status,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
cultivars,review_priority_index,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
cultivars,risk_review_code,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
cultivars,service_path_code,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
cultivars,workflow_bucket_id,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
diabetes,case_resolution_type,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
diabetes,confirmed_result_code,lasfs,deepseek,deepseek-v4-flash,0.6333333333333333,0.0,1.0,0.0,30
diabetes,final_outcome_flag,lasfs,deepseek,deepseek-v4-flash,0.3333333333333333,0.0,1.0,0.0,30
diabetes,followup_action_group,lasfs,deepseek,deepseek-v4-flash,0.26666666666666666,0.0,1.0,0.0,30
diabetes,outcome_verification_score,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
diabetes,post_decision_status,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
diabetes,risk_review_code,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
diabetes,workflow_bucket_id,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
diabetes,review_priority_index,lasfs,deepseek,deepseek-v4-flash,0.23333333333333334,0.16666666666666666,0.9333333333333333,0.09589266029707691,30
diabetes,service_path_code,lasfs,deepseek,deepseek-v4-flash,0.0,0.26666666666666666,0.8333333333333334,0.23973165074269207,30
diabetes,insu,lasfs,deepseek,deepseek-v4-flash,0.8333333333333334,0.4666666666666667,0.3,0.36198685440029543,30
diabetes,skin,lasfs,deepseek,deepseek-v4-flash,0.6333333333333333,0.9,0.1,0.0,30
diabetes,pedi,lasfs,deepseek,deepseek-v4-flash,0.8,0.9333333333333333,0.06666666666666667,0.04794633014853842,30
diabetes,pres,lasfs,deepseek,deepseek-v4-flash,0.8,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
diabetes,age,lasfs,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,30
diabetes,age,llm_only,deepseek,deepseek-v4-flash,0.7,1.0,0.0,0.0,5
diabetes,case_resolution_type,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
diabetes,confirmed_result_code,llm_only,deepseek,deepseek-v4-flash,0.9,1.0,0.0,0.0,5
diabetes,final_outcome_flag,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
diabetes,followup_action_group,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
diabetes,insu,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
diabetes,mass,lasfs,deepseek,deepseek-v4-flash,0.9,1.0,0.0,0.0,30
diabetes,mass,llm_only,deepseek,deepseek-v4-flash,0.9,1.0,0.0,0.0,5
diabetes,outcome_verification_score,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
diabetes,pedi,llm_only,deepseek,deepseek-v4-flash,1.0,1.0,0.0,0.0,5
diabetes,plas,lasfs,deepseek,deepseek-v4-flash,0.9666666666666667,1.0,0.0,0.0,30
diabetes,plas,llm_only,deepseek,deepseek-v4-flash,1.0,1.0,0.0,0.0,5
diabetes,post_decision_status,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
diabetes,preg,lasfs,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,30
diabetes,preg,llm_only,deepseek,deepseek-v4-flash,0.7,1.0,0.0,0.0,5
diabetes,pres,llm_only,deepseek,deepseek-v4-flash,0.7,1.0,0.0,0.0,5
diabetes,review_priority_index,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
diabetes,risk_review_code,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
diabetes,service_path_code,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
diabetes,skin,llm_only,deepseek,deepseek-v4-flash,0.6,1.0,0.0,0.0,5
diabetes,workflow_bucket_id,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
german_credit,case_resolution_type,lasfs,deepseek,deepseek-v4-flash,0.16666666666666666,0.0,1.0,0.0,30
german_credit,final_outcome_flag,lasfs,deepseek,deepseek-v4-flash,0.3333333333333333,0.0,1.0,0.0,30
german_credit,outcome_verification_score,lasfs,deepseek,deepseek-v4-flash,0.26666666666666666,0.0,1.0,0.0,30
german_credit,post_decision_status,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
german_credit,risk_review_code,lasfs,deepseek,deepseek-v4-flash,0.26666666666666666,0.0,1.0,0.0,30
german_credit,confirmed_result_code,lasfs,deepseek,deepseek-v4-flash,0.26666666666666666,0.06666666666666667,0.9666666666666667,0.04794633014853849,30
german_credit,followup_action_group,lasfs,deepseek,deepseek-v4-flash,0.5333333333333333,0.06666666666666667,0.9666666666666667,0.04794633014853849,30
german_credit,workflow_bucket_id,lasfs,deepseek,deepseek-v4-flash,0.1,0.16666666666666666,0.9666666666666667,0.04794633014853849,30
german_credit,review_priority_index,lasfs,deepseek,deepseek-v4-flash,0.5,0.1,0.9333333333333333,0.09589266029707691,30
german_credit,service_path_code,lasfs,deepseek,deepseek-v4-flash,0.13333333333333333,0.26666666666666666,0.8666666666666667,0.19178532059415368,30
german_credit,other_payment_plans,lasfs,deepseek,deepseek-v4-flash,0.5,0.5333333333333333,0.4,0.2876779808912305,30
german_credit,other_parties,lasfs,deepseek,deepseek-v4-flash,0.2,0.16666666666666666,0.3333333333333333,0.3457459036417604,30
german_credit,property_magnitude,lasfs,deepseek,deepseek-v4-flash,0.6,0.6,0.3333333333333333,0.3457459036417604,30
german_credit,duration,lasfs,deepseek,deepseek-v4-flash,0.6,0.6333333333333333,0.3,0.36198685440029543,30
german_credit,credit_history,lasfs,deepseek,deepseek-v4-flash,0.9333333333333333,0.9333333333333333,0.1,0.14383899044561524,30
german_credit,checking_status,lasfs,deepseek,deepseek-v4-flash,0.8,0.9333333333333333,0.06666666666666667,0.04794633014853842,30
german_credit,housing,lasfs,deepseek,deepseek-v4-flash,0.6,0.9333333333333333,0.06666666666666667,0.04794633014853842,30
german_credit,installment_commitment,lasfs,deepseek,deepseek-v4-flash,0.8333333333333334,0.9333333333333333,0.06666666666666667,0.04794633014853842,30
german_credit,savings_status,lasfs,deepseek,deepseek-v4-flash,0.8,0.9333333333333333,0.06666666666666667,0.04794633014853842,30
german_credit,credit_amount,lasfs,deepseek,deepseek-v4-flash,0.8,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
german_credit,employment,lasfs,deepseek,deepseek-v4-flash,0.7,0.6333333333333333,0.03333333333333333,0.04794633014853842,30
german_credit,existing_credits,lasfs,deepseek,deepseek-v4-flash,0.8,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
german_credit,foreign_worker,lasfs,deepseek,deepseek-v4-flash,0.43333333333333335,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
german_credit,num_dependents,lasfs,deepseek,deepseek-v4-flash,0.5333333333333333,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
german_credit,own_telephone,lasfs,deepseek,deepseek-v4-flash,0.4,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
german_credit,personal_status,lasfs,deepseek,deepseek-v4-flash,0.6,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
german_credit,residence_since,lasfs,deepseek,deepseek-v4-flash,0.7,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
german_credit,age,lasfs,deepseek,deepseek-v4-flash,0.7,1.0,0.0,0.0,30
german_credit,age,llm_only,deepseek,deepseek-v4-flash,0.6,1.0,0.0,0.0,5
german_credit,case_resolution_type,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
german_credit,checking_status,llm_only,deepseek,deepseek-v4-flash,0.9,1.0,0.0,0.0,5
german_credit,confirmed_result_code,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
german_credit,credit_amount,llm_only,deepseek,deepseek-v4-flash,0.9,1.0,0.0,0.0,5
german_credit,credit_history,llm_only,deepseek,deepseek-v4-flash,1.0,1.0,0.0,0.0,5
german_credit,duration,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
german_credit,employment,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
german_credit,existing_credits,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
german_credit,final_outcome_flag,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
german_credit,followup_action_group,llm_only,deepseek,deepseek-v4-flash,0.5,1.0,0.0,0.0,5
german_credit,foreign_worker,llm_only,deepseek,deepseek-v4-flash,0.5,1.0,0.0,0.0,5
german_credit,housing,llm_only,deepseek,deepseek-v4-flash,0.6,1.0,0.0,0.0,5
german_credit,installment_commitment,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
german_credit,job,lasfs,deepseek,deepseek-v4-flash,0.7333333333333333,1.0,0.0,0.0,30
german_credit,job,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
german_credit,num_dependents,llm_only,deepseek,deepseek-v4-flash,0.3,1.0,0.0,0.0,5
german_credit,other_parties,llm_only,deepseek,deepseek-v4-flash,0.5,1.0,0.0,0.0,5
german_credit,other_payment_plans,llm_only,deepseek,deepseek-v4-flash,0.6,1.0,0.0,0.0,5
german_credit,outcome_verification_score,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
german_credit,own_telephone,llm_only,deepseek,deepseek-v4-flash,0.3,1.0,0.0,0.0,5
german_credit,personal_status,llm_only,deepseek,deepseek-v4-flash,0.7,1.0,0.0,0.0,5
german_credit,post_decision_status,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
german_credit,property_magnitude,llm_only,deepseek,deepseek-v4-flash,0.6,1.0,0.0,0.0,5
german_credit,purpose,lasfs,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,30
german_credit,purpose,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
german_credit,residence_since,llm_only,deepseek,deepseek-v4-flash,0.6,1.0,0.0,0.0,5
german_credit,review_priority_index,llm_only,deepseek,deepseek-v4-flash,0.5,1.0,0.0,0.0,5
german_credit,risk_review_code,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
